"ID","DESCRIPTION","NAME","QUESTION_POOL_ID","POSITION","STATUS"
"1","Test","Test","0","0","1"
"1419359927000","Theorie DatenbankenWird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","Datenbanken III","4","2","1"
"1431798256000","DatenbankenWird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","Datenbanken I","4","0","1"
"1542953946000","","Bildbearbeitung III","3","2","1"
"1556954017000","","Textverarbeitung mit Word I","2","0","1"
"1574189761000","Theorie DatenbankenWird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","Datenbanken II","4","1","1"
"1574190091000","Theorie über Farbmodelle, Grafikformate, Bildkorrekturen Wird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","Bildbearbeitung II","3","1","1"
"1591533990000","Für diese Lektion ist es von Vorteil, wenn du vor dem Rechner sitzt und Word geöffnet hast.Wenn du den Lösungsweg gefunden bzw. gewusst hast, wähle Richtig beantwortete Frage wird nicht mehr wiederholt.","Textverarbeitung mit Word II","2","1","1"
"1603044401000","Wie ein guter Stadtführer gibt auch dieser Kurs Ihnen zunächst eine grobe Orientierung. Was sind die wichtigsten Viertel der Stadt? Bzw. wie heißen die Register und welche Funktionen sind dort zu finden?","Textverarbeitung mit Word III","2","2","1"
"1605025931000","ECDL Modul Computer GrundlagenWird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","Computer Grundlagen 4","1","3","1"
"1605045361000","","Computer Grundlagen 5","1","4","1"
"1605082000000","ECDL Modul Computer GrundlagenWird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","Computer Grundlagen 3","1","2","1"
"1605647856000","Wichtige Themen zu Excel werden hier erläutert und abgefragt.Wird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","Tabellenkalkulation mit Excel","5","0","1"
"1605782153000","Wichtige Begriffe von IT-Security werden erklärt und abgefragt. Diese Lektion eignet sich für das Selbstudium und Testen der Kenntnisse. Wird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","IT-Security Begriffe III","65","3","1"
"1605794091000","ECDL Modul Computer GrundlagenWird die Lernkarte/Quizfrage 2x richtig beantwortet, dann gilt die Frage als gelernt und erscheint nicht mehr.","Computer Grundlagen 2","1","1","1"
"1605804504000","","IT-Security Beispiele","65","7","1"
"1605954168000","","OZ Praktische Beispiele","97","2","1"
"1605980967000","Hier werden die Begriffe von Online-Grundlagen vorgestellt und gelernt.","Online-Grundlagen Begriffe","33","6","1"
"1605982755000","Wenn du den Lösungsweg gefunden bzw. gewusst hast, wähle Richtig beantwortete Frage wird nicht mehr wiederholt. Daneben gibt es noch einige Multiple-Choice-Fragen.","Präsentation mit PowerPoint","34","0","0"
"1606164951000","","IT-Security Begriffe I","65","1","1"
