"ID","DESCRIPTION","GRAPHIC","NAME","COLOR","STATUS","STUDENT_SPECIFIC"
"1","Dieses Modul behandelt die wesentlichen Kenntnisse und Fertigkeiten, die bei der Nutzung von Computern und Mobilgeräten, bei der Erstellung und Verwaltung von Dateien, beim Umgang mit Netzwerken und zur Sicherstellung der Datensicherheit erforderlich sind.",,"Computer-Grundlagen","#0E33CC","1","FALSE"
"2","Dieses Modul behandelt die wesentlichen Kenntnisse und Fertigkeiten, die beim Einsatz eines Textverarbeitungsprogramms zur Erstellung alltäglicher Dokumente erforderlich sind.",,"Textverarbeitung","#1166FF","1","FALSE"
"3","Dieses Modul behandelt die Hauptkonzepte der digitalen Bildbearbeitung und vermittelt die Fertigkeiten zur praktischen Anwendung eines Bildbearbeitungsprogramms, um digitale Bilder zu verbessern, zu ändern und sie für die Verwendung zum Druck oder im Web vorzubereiten.",,"Bildbearbeitung","#073399","1","FALSE"
"4","Dieses Modul vermittelt grundlegende Kenntnisse über den Entwurf einer Datenbank und behandelt Fertigkeiten, die für die kompetente Nutzung einer Datenbank erforderlich sind.",,"Datenbanken","#CC34FF","1","FALSE"
"5","Dieses Modul behandelt grundlegende Begriffe und Fertigkeiten, die für einen sinnvollen Einsatz einer Tabellenkalkulation und für korrekte Arbeitsresultate erforderlich sind.",,"Tabellenkalkulation","#6699FF","1","FALSE"
"33","Dieses Modul behandelt die wesentlichen Kenntnisse und Fertigkeiten, die für WebBrowsing, effiziente Informationssuche, Online-Kommunikation und E-Mail-Nutzung benötigt werden.",,"Online-Grundlagen","#FF3300","1","FALSE"
"34","Für das Modul Präsentation gibt es leider keine Quizfragen. Da die ECDL-Prüfung Präsentation praxisorientiert ist, reicht es aus, praktisch in der Anwendung zu üben.",,"Präsentation","#FF9900","1","FALSE"
"65","Dieses Modul vermittelt Kenntnisse für eine sichere Nutzung der IKT im Alltag, über geeignete Maßnahmen für eine sichere Netzwerkverbindung, über Sicherheit im Internet und über die richtige Handhabung von Daten und Informationen.",,"IT-Security","#339900","1","FALSE"
"97","Dieses Modul behandelt Kenntnisse und Fertigkeiten, die für Einrichtung und Nutzung von Werkzeugen für die Online Zusammenarbeit erforderlich sind, wie z.B. Speichermedien, Office-Anwendungen, Kalender, soziale Medien (Social Media), Online-Meetings, Online-Lernplattformen und mobile Geräte.",,"Online Zusammenarbeit","#7E0386","1","FALSE"
"99","Dieses Modul ist zum Testen da. Es wird den Usern nicht angezeigt. In diesem Modul können Fragen, Grafiken und Lektionen beliebig hinzugefügt / bearbeitet / gelöscht werden.",,"Testmodul","#0E33CC","0","FALSE"
"129","Test",,"Test",,"0","FALSE"
"161","Dieses Modul behandelt Themen aus dem Fach Digitale Grundbildung (derzeit nur Lektionen aus dem Bereich Computing verfügbar).",,"Digitale Grundbildung",,"1","TRUE"
"193","Dieses Modul vermittelt die  ersten grundlegenden Kenntnisse und Fähigkeiten, die für den Einsatz von Künstlicher Intelligenz in verschiedenen Anwendungen erforderlich sind.",,"Künstliche Intelligenz",,"0","FALSE"
